2020-07-31 17:47:58.238 INFO  test log 
2020-07-31 17:52:29.746 INFO  New user connected :: AnonymousUser53 
2020-07-31 17:52:49.894 INFO  new username : Yayap 
2020-07-31 17:53:27.123 INFO  New user connected :: AnonymousUser17 
2020-07-31 17:53:34.229 INFO  new username : Bot 
2020-07-31 17:53:56.442 INFO  New user connected :: AnonymousUser69 
2020-07-31 17:54:06.693 INFO  disconnection : AnonymousUser69 
2020-07-31 17:54:36.098 INFO  New user connected :: AnonymousUser49 
2020-07-31 17:54:46.198 INFO  disconnection : AnonymousUser49 
2020-07-31 17:56:15.473 INFO  disconnection : Yayap 
2020-07-31 17:56:15.670 INFO  New user connected :: AnonymousUser99 
2020-07-31 17:57:18.178 INFO  disconnection : AnonymousUser99 
2020-07-31 17:57:18.373 INFO  New user connected :: AnonymousUser21 
2020-07-31 17:59:26.257 INFO  disconnection : AnonymousUser21 
2020-07-31 17:59:26.444 INFO  New user connected :: AnonymousUser40 
2020-07-31 17:59:37.966 INFO  disconnection : Bot 
2020-07-31 17:59:46.842 INFO  new username : Colbyjack 
2020-07-31 18:03:13.342 INFO  New user connected :: AnonymousUser9 
2020-07-31 18:03:15.121 INFO  disconnection : AnonymousUser9 
2020-07-31 18:09:38.437 INFO  New user connected :: AnonymousUser27 
2020-07-31 18:09:43.168 INFO  disconnection : AnonymousUser27 
2020-07-31 18:24:02.749 INFO  New user connected :: AnonymousUser83 
2020-07-31 18:24:05.871 INFO  disconnection : AnonymousUser83 
2020-07-31 18:46:43.089 INFO  New user connected :: AnonymousUser60 
2020-07-31 18:46:58.713 INFO  disconnection : AnonymousUser60 
2020-07-31 18:47:41.036 INFO  New user connected :: AnonymousUser66 
2020-07-31 18:47:44.277 INFO  New user connected :: AnonymousUser37 
2020-07-31 18:47:48.127 INFO  disconnection : AnonymousUser37 
2020-07-31 18:47:53.582 INFO  disconnection : AnonymousUser66 
2020-07-31 18:47:53.712 INFO  New user connected :: AnonymousUser47 
2020-07-31 18:48:38.066 INFO  New user connected :: AnonymousUser91 
2020-07-31 18:48:52.543 INFO  disconnection : AnonymousUser47 
2020-07-31 18:49:58.315 INFO  disconnection : AnonymousUser91 
2020-07-31 18:50:13.934 INFO  New user connected :: AnonymousUser75 
2020-07-31 18:50:44.436 INFO  disconnection : AnonymousUser75 
2020-07-31 18:50:46.274 INFO  New user connected :: AnonymousUser74 
2020-07-31 18:53:45.997 INFO  New user connected :: AnonymousUser58 
2020-07-31 18:55:37.236 INFO  disconnection : AnonymousUser74 
2020-07-31 18:57:03.465 INFO  disconnection : AnonymousUser58 
2020-07-31 19:00:52.340 INFO  New user connected :: AnonymousUser73 
2020-07-31 19:01:06.423 INFO  new username : ManStevens 
2020-07-31 19:02:35.033 INFO  disconnection : ManStevens 
2020-07-31 19:43:51.300 INFO  New user connected :: AnonymousUser23 
2020-07-31 19:43:58.111 INFO  disconnection : AnonymousUser23 
2020-07-31 20:04:18.673 INFO  New user connected :: AnonymousUser46 
2020-07-31 20:04:23.400 INFO  disconnection : AnonymousUser46 
2020-07-31 20:50:15.306 INFO  disconnection : Colbyjack 
2020-08-01 09:24:31.600 INFO  New user connected :: AnonymousUser36 
2020-08-01 09:24:34.791 INFO  disconnection : AnonymousUser36 
2020-08-01 13:07:56.673 INFO  New user connected :: AnonymousUser94 
2020-08-01 13:09:00.580 INFO  disconnection : AnonymousUser94 
2020-08-01 14:03:55.762 INFO  New user connected :: AnonymousUser30 
2020-08-01 14:04:11.944 INFO  disconnection : AnonymousUser30 
2020-08-01 15:12:07.581 INFO  New user connected :: AnonymousUser93 
2020-08-01 15:12:19.485 INFO  new username : Colbyjack 
2020-08-01 15:12:50.334 INFO  disconnection : Colbyjack 
2020-08-01 16:13:34.805 INFO  New user connected :: AnonymousUser32 
2020-08-01 16:13:48.837 INFO  disconnection : AnonymousUser32 
2020-08-02 02:57:16.512 INFO  New user connected :: AnonymousUser96 
2020-08-02 02:57:22.216 INFO  disconnection : AnonymousUser96 
2020-08-02 03:48:34.434 INFO  New user connected :: AnonymousUser46 
2020-08-02 03:49:04.816 INFO  disconnection : AnonymousUser46 
2020-08-05 16:58:51.994 INFO  New user connected :: AnonymousUser43 
2020-08-05 16:59:08.728 INFO  disconnection : AnonymousUser43 
2020-08-05 17:02:56.917 INFO  New user connected :: AnonymousUser38 
2020-08-05 17:03:01.743 INFO  New user connected :: AnonymousUser35 
2020-08-05 17:03:26.938 INFO  disconnection : AnonymousUser38 
2020-08-05 17:03:31.747 INFO  disconnection : AnonymousUser35 
2020-08-07 15:23:43.369 INFO  New user connected :: AnonymousUser40 
2020-08-07 15:24:04.710 INFO  disconnection : AnonymousUser40 
2020-08-07 15:24:10.145 INFO  New user connected :: AnonymousUser77 
2020-08-07 15:24:22.594 INFO  disconnection : AnonymousUser77 
2020-08-08 21:07:55.254 INFO  New user connected :: AnonymousUser28 
2020-08-08 21:08:26.444 INFO  disconnection : AnonymousUser28 
2020-08-08 21:18:13.175 INFO  New user connected :: AnonymousUser51 
2020-08-08 21:18:43.761 INFO  disconnection : AnonymousUser51 
2020-08-08 21:20:53.075 INFO  New user connected :: AnonymousUser96 
2020-08-08 21:21:23.100 INFO  disconnection : AnonymousUser96 
2020-08-08 21:30:19.776 INFO  New user connected :: AnonymousUser37 
2020-08-08 21:30:50.538 INFO  disconnection : AnonymousUser37 
2020-08-08 21:47:23.470 INFO  New user connected :: AnonymousUser84 
2020-08-08 21:47:54.309 INFO  disconnection : AnonymousUser84 
2020-08-08 21:49:07.712 INFO  New user connected :: AnonymousUser31 
